f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
2936,2805,1556,1425,2277,1686,1048,1546,688,586,677,677,999,1468,1498
2936,2805,1556,1425,2277,1686,1048,1546,688,475,178,325,999,1468,1498
2936,2805,1303,1289,432,532,1145,1175,631,586,677,212,96,1468,318
2936,2805,1556,1425,432,532,1145,1175,631,207,1221,571,711,162,1498
2936,2805,1303,1289,2277,1686,1145,1175,1354,1160,419,472,999,1468,318
2936,2805,1556,1425,2277,738,702,1546,688,586,677,717,746,1054,1498
2936,2805,1556,1425,2277,1686,1048,1546,688,475,178,325,999,1468,1498
2936,2805,1556,1425,2277,1686,1145,1175,688,475,443,571,711,1468,1498
2936,2805,1556,1425,2277,738,702,1546,688,586,677,717,746,1054,1498
2936,2805,1556,1425,2277,1686,1048,1546,1354,510,677,677,999,1468,1498
2936,2805,1556,1425,2277,1686,1048,1546,688,586,677,677,999,1468,1498
2936,2805,1556,1425,2277,1686,1145,1175,688,475,443,571,711,1468,1498
2936,2805,1303,1289,2277,1686,1145,1175,1354,475,677,472,999,1468,318
2936,2805,1556,1425,2277,1686,1048,1546,1354,510,677,677,999,1468,1498
2936,2805,1556,1425,2277,738,702,1546,688,475,443,571,711,1468,1498
2936,2805,1556,1425,432,532,1145,1175,688,475,443,571,711,166,232
2936,2805,1556,1425,2277,1686,1145,1175,688,475,178,212,711,1468,1498
2936,2805,1556,1425,2277,1686,1048,1546,1354,510,677,677,343,1054,1498
2936,2805,1303,1289,2277,1686,92,1175,184,1160,1221,677,343,1054,323
2936,2805,1556,1425,432,532,1145,1175,631,510,443,571,711,166,232
2936,2805,1556,1425,2277,1686,1145,1175,688,475,443,571,711,1468,1498
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,677,343,1054,1498
2936,2805,1303,147,153,1686,92,1175,184,1160,1221,717,746,1054,323
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,717,746,1054,492
2936,2805,1556,1425,2277,738,702,1546,688,586,677,677,999,1468,1498
2936,2805,1303,1289,2277,738,702,1546,1354,1160,1221,717,746,1054,492
2936,2805,1556,1425,432,532,1145,1175,631,207,1221,571,711,1468,318
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,677,999,1468,1498
2936,2805,1556,1425,2277,1686,1048,1546,1354,510,677,677,999,1468,1498
2936,2805,1556,1425,2277,1686,1145,1175,631,510,178,212,711,1468,318
64,64,1303,1289,2277,1686,1145,1175,1354,475,178,212,96,1468,318
2936,2805,1556,1425,2277,1686,1145,1175,688,475,443,571,711,1468,1498
2936,2805,1556,1425,2277,1686,1145,1175,631,510,443,571,711,1468,1498
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,677,343,1054,323
2936,2805,1303,1289,432,532,1145,1175,1354,475,677,212,96,1468,318
2936,2805,1303,1289,432,532,1145,1175,631,586,677,472,999,1468,318
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,419,472,999,1468,1498
2936,2805,1556,1425,432,532,1145,1175,631,207,1221,571,711,162,232
2936,2805,1556,134,137,532,1145,1175,631,207,1221,571,711,162,1498
2936,2805,1303,1289,2277,738,702,1546,1354,1160,1221,717,746,1054,492
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,677,999,1468,1498
2936,2805,1303,1289,2277,1686,1145,1175,631,586,677,212,96,1468,318
2936,2805,1303,1289,2277,1686,1145,1175,1354,1160,419,472,999,1468,1498
2936,2805,1556,1425,2277,1686,1048,1546,688,586,677,677,999,1468,1498
2936,2805,1556,1425,432,532,1145,1175,631,510,443,571,711,166,318
2936,2805,1556,1425,2277,738,702,1546,688,586,677,677,999,1468,1498
2936,2805,1556,1425,2277,1686,1048,1546,688,475,443,571,711,1468,1498
2936,2805,1556,1425,2277,1686,1048,1546,688,586,419,325,999,1468,1498
2936,2805,1556,134,137,532,1145,1175,631,207,1221,571,711,162,1498
2936,2805,1556,1425,2277,1686,1048,1546,688,586,677,677,999,1468,1498
2936,2805,1556,1425,432,532,1145,1175,631,1160,1221,212,711,1468,1498
2936,2805,1556,1425,2277,738,702,1546,1354,510,677,717,746,1054,1498
2936,2805,1556,1425,2277,1686,1145,1175,631,510,178,212,711,1468,1498
2936,2805,1556,1425,2277,1686,1048,1546,688,475,443,571,711,1468,1498
2936,2805,1556,1425,2277,1686,1048,1546,1354,510,677,677,999,1468,1498
2936,2805,1303,1289,2277,1686,1145,1175,1354,1160,419,472,999,1468,318
2936,2805,1556,1425,2277,738,702,1546,1354,510,677,717,746,1054,1498
2936,2805,1556,1425,2277,738,702,1546,688,586,419,325,999,1468,1498
64,64,1556,134,137,532,1145,1175,631,207,1221,571,711,162,232
2936,2805,1303,1289,2277,738,702,1546,1354,1160,1221,717,746,1054,492
2936,2805,1303,1289,2277,1686,1145,1175,1354,475,677,472,999,1468,1498
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,717,746,1054,492
2936,2805,1303,1289,2277,738,702,1546,1354,1160,1221,717,746,1054,492
2936,2805,1303,1289,2277,738,702,1546,1354,1160,1221,717,746,1054,492
2936,2805,1556,1425,2277,738,702,1546,688,586,677,677,343,1054,1498
2936,2805,1556,1425,2277,1686,1048,1546,688,586,419,325,999,1468,1498
2936,2805,1556,1425,2277,1686,1145,1175,688,475,443,571,711,1468,1498
2936,2805,1303,1289,2277,738,702,1546,1354,1160,1221,717,746,1054,492
2936,2805,1556,1425,432,532,1145,1175,631,586,1221,212,711,1468,318
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,419,472,343,1054,1498
2936,98,105,147,153,31,1048,79,109,58,56,472,22,37,13
2936,2805,1303,1289,2277,1686,1145,1175,1354,1160,419,472,999,1468,1498
2936,2805,1556,1425,2277,1686,1048,1546,688,475,178,212,711,1468,1498
2936,2805,1303,1289,2277,738,702,1546,1354,1160,1221,717,746,1054,492
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,717,746,1054,492
2936,2805,1303,1289,2277,1686,1145,1175,1354,1160,419,472,999,1468,318
2936,2805,1556,1425,2277,1686,1048,1546,1354,1160,1221,677,999,1468,1498
2936,2805,1303,1289,2277,738,702,1546,1354,1160,1221,717,746,1054,492
2936,2805,1556,1425,432,532,1145,1175,631,510,443,571,711,166,232
2936,2805,1303,1289,2277,1686,1145,1175,1354,1160,419,472,999,1468,318
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,419,472,999,1468,1498
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,677,343,1054,492
2936,2805,1556,134,137,532,1145,1175,631,207,1221,571,711,162,232
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,419,472,999,1468,1498
2936,2805,1556,1425,2277,1686,1048,1546,688,586,419,325,999,1468,1498
2936,2805,1303,1289,2277,738,702,1546,1354,510,677,677,343,1054,1498
2936,2805,1556,1425,2277,1686,1145,1175,688,475,178,325,999,1468,1498
2936,2805,1303,1289,2277,1686,1145,1175,1354,1160,419,472,999,1468,323
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,419,472,999,1468,323
2936,2805,1556,1425,432,532,1145,1175,631,207,1221,571,711,1468,318
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,677,999,1468,1498
2936,32,34,147,153,1686,92,1175,109,1160,1221,717,746,36,67
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,717,746,1054,323
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,677,343,1054,1498
2936,2805,1303,1289,2277,738,702,1546,1354,1160,1221,717,746,1054,492
2936,2805,1303,1289,2277,1686,1048,187,184,1160,1221,717,746,1054,323
2936,2805,1556,134,137,532,1145,1175,631,207,1221,571,711,162,1498
2936,2805,1556,1425,2277,1686,1145,1175,688,475,178,212,711,1468,1498
2936,2805,1556,1425,2277,1686,1048,1546,1354,510,419,325,999,1468,1498
2936,2805,1556,1425,432,532,1145,1175,631,510,443,571,711,166,232
2936,2805,1303,147,153,1686,92,1175,184,586,2,717,96,37,67
2936,2805,1556,134,137,532,1145,1175,631,207,1221,571,711,162,1498
2936,2805,1556,1425,2277,1686,1048,1546,688,586,677,677,999,1468,1498
2936,2805,1303,1289,2277,1686,1145,1175,1354,1160,419,472,999,1468,1498
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,677,343,1054,492
2936,2805,1556,1425,2277,1686,1048,1546,1354,510,677,677,999,1468,1498
2936,2805,1556,1425,2277,738,702,1546,1354,510,677,717,746,1054,1498
2936,2805,1556,1425,2277,738,702,1546,1354,510,677,717,746,1054,492
2936,98,105,147,153,738,702,187,109,1160,1221,717,746,1054,323
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,677,999,1468,1498
2936,2805,1303,1289,2277,738,702,1546,1354,1160,1221,717,11,37,67
2936,2805,1556,1425,2277,1686,1048,1546,688,586,677,677,999,1054,1498
2936,2805,1556,134,137,532,1145,1175,631,207,1221,571,711,166,318
2936,2805,1556,1425,2277,1686,1048,1546,1354,510,677,677,343,1054,1498
2936,2805,1556,1425,2277,1686,1145,1175,631,510,178,212,711,1468,1498
2936,2805,1556,1425,432,1686,1145,1175,688,475,443,571,711,1468,1498
2936,2805,1556,1425,2277,1686,1048,1546,688,586,419,325,999,1468,1498
2936,2805,1303,1289,2277,1686,92,1175,184,1160,419,472,343,1054,323
2936,2805,1556,1425,2277,738,702,1546,1354,510,677,677,999,1468,1498
2936,2805,1303,1289,2277,738,702,1546,1354,1160,1221,717,746,1054,492
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,419,472,343,1054,323
64,64,1303,1289,432,532,1145,1175,631,586,677,212,96,1468,318
2936,32,105,147,153,738,702,187,184,1160,1221,717,746,1054,492
2936,2805,1556,1425,432,532,1145,1175,631,207,1221,571,711,1468,318
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,717,746,1054,323
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,717,746,1054,492
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,419,472,999,1468,1498
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,677,343,1054,1498
2936,2805,1556,1425,432,532,1145,1175,631,510,443,571,711,1468,1498
2936,2805,1303,1289,2277,1686,1145,1175,1354,1160,419,472,999,1468,1498
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,717,746,1054,492
2936,2805,1,1425,153,532,702,1175,184,586,677,677,96,1054,232
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,677,343,1054,323
2936,2805,1303,1289,432,532,1145,1175,631,586,677,472,999,1468,318
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,419,472,343,1054,323
2936,2805,1303,1289,2277,738,702,187,184,1160,1221,717,746,1054,492
2936,2805,1303,147,153,738,702,187,184,1160,1221,717,746,1054,323
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,677,999,1468,1498
2936,2805,1303,1289,2277,1686,1048,187,184,1160,419,472,343,1054,323
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,677,343,1054,1498
2936,2805,1556,1425,432,532,1145,1175,631,586,443,472,711,1468,318
2936,2805,1556,1425,2277,1686,1048,1546,688,586,677,677,999,1468,1498
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,677,999,1468,1498
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,419,472,343,1054,1498
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,419,472,999,1468,1498
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,677,999,1468,1498
2936,2805,1556,1425,2277,1686,1048,1546,1354,510,677,677,999,1468,1498
2936,2805,1556,1425,2277,1686,1048,1546,688,475,178,325,999,1468,1498
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,717,746,1054,492
2936,2805,1556,1425,2277,738,702,1546,1354,1160,1221,717,746,1054,492
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,717,746,1054,492
2936,2805,1303,1289,2277,1686,1048,187,184,1160,1221,717,746,1054,323
2936,2805,1303,1289,2277,1686,1145,1175,631,586,677,212,96,1468,318
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,419,472,343,1054,323
2936,2805,1556,1425,2277,1686,1145,1175,631,586,1221,325,999,1468,1498
2936,2805,1556,134,137,532,1145,1175,631,207,1221,571,711,162,1498
2936,2805,1556,1425,2277,1686,1145,1175,688,475,677,325,48,1468,1498
2936,2805,1303,1289,2277,1686,1048,187,184,1160,419,472,343,1054,323
2936,32,34,147,153,738,92,79,109,586,1221,717,746,1054,323
2936,2805,1556,1425,2277,1686,1048,1546,688,586,419,325,999,1468,1498
2936,2805,1556,134,137,532,1145,1175,688,475,443,571,711,166,232
2936,2805,1303,1289,432,532,1145,1175,631,586,677,212,96,1468,318
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,419,472,999,1468,1498
2936,2805,1303,1289,2277,1686,1145,1175,1354,475,677,212,96,1468,318
2936,2805,1556,1425,432,532,1145,1175,631,207,1221,571,711,1468,318
2936,2805,1556,1425,2277,1686,1145,1175,1354,475,1221,325,999,1468,1498
2936,2805,1303,1289,2277,738,702,1546,1354,510,677,677,343,1054,1498
64,64,1303,1289,2277,1686,1145,1175,1354,475,677,212,96,1468,318
2936,2805,1556,1425,2277,738,702,1546,688,586,677,677,343,1054,1498
2936,2805,1303,1289,2277,738,702,1546,1354,1160,1221,717,746,1054,492
2936,2805,1556,1425,2277,738,702,1546,1354,1160,1221,717,746,1054,492
2936,2805,1303,1289,2277,1686,1145,1175,1354,1160,419,472,999,1468,323
2936,2805,1303,1289,2277,1686,1048,1546,1354,510,677,677,999,1468,1498
2936,2805,1556,1425,432,1686,1145,1175,688,475,443,571,711,1468,1498
2936,2805,1556,1425,2277,1686,1048,1546,688,475,443,571,711,166,232
2936,2805,1303,1289,2277,1686,1145,1175,1354,1160,419,472,999,1468,1498
2936,2805,1556,1425,2277,738,702,1546,1354,510,677,717,746,1054,1498
2936,2805,1556,1425,432,532,1145,1175,631,207,1221,571,711,162,1498
2936,2805,1556,1425,2277,1686,1145,1175,631,510,443,571,711,1468,1498
2936,2805,1556,1425,2277,1686,1048,1546,688,475,178,325,999,1468,1498
2936,2805,1556,1425,2277,738,702,1546,1354,1160,1221,717,746,1054,1498
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,677,343,1054,1498
2936,2805,1303,1289,2277,738,702,187,184,1160,1221,717,746,1054,492
2936,2805,1303,1289,2277,1686,1145,1175,631,586,677,472,999,1468,1498
2936,2805,1556,1425,2277,1686,1145,1175,1354,475,1221,325,999,1468,1498
2936,2805,1556,1425,2277,1686,1048,1546,1354,510,677,677,999,1468,1498
2936,2805,1556,1425,432,532,1145,1175,688,475,443,571,711,166,232
2936,2805,1303,1289,2277,738,702,1546,1354,1160,1221,717,746,1054,492
2936,2805,1303,1289,2277,738,702,1546,1354,1160,1221,717,746,1054,492
2936,2805,1303,1289,2277,1686,1145,1175,1354,1160,419,472,999,1468,323
2936,2805,1556,134,137,532,1145,1175,631,207,1221,571,711,162,1498
2936,2805,1556,1425,432,532,1145,1175,631,586,677,472,999,1468,1498
2936,2805,1556,1425,432,532,1145,1175,631,510,443,571,711,166,232
2936,2805,1556,1425,2277,738,702,1546,688,586,677,677,999,1468,1498
2936,2805,1303,1289,2277,738,702,1546,1354,1160,1221,717,746,1054,492
2936,2805,1556,1425,432,532,1145,1175,631,510,443,571,711,1468,1498
2936,2805,1556,1425,2277,738,702,1546,688,586,677,717,746,1054,1498
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,677,999,1468,1498
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,419,472,999,1468,1498
2936,2805,1556,1425,432,532,1145,1175,631,207,1221,571,711,162,232
2936,2805,1556,1425,2277,738,702,1546,1354,1160,1221,717,746,1054,492
2936,2805,1303,1289,2277,1686,1048,187,184,1160,1221,717,746,1054,323
2936,2805,1556,1425,432,532,1145,1175,631,510,443,571,711,1468,318
2936,2805,1303,1289,137,5,1048,79,184,586,1221,325,343,37,67
2936,2805,1556,1425,2277,1686,1048,1546,688,586,677,677,999,1468,1498
2936,2805,1556,1425,2277,1686,1048,1546,1354,510,419,325,999,1468,1498
2936,2805,1303,1289,2277,1686,1145,1175,1354,1160,419,472,999,1468,318
2936,2805,1556,1425,432,532,1145,1175,631,207,1221,571,711,162,1498
2936,2805,1303,1289,2277,1686,1145,1175,1354,1160,419,472,999,1468,318
2936,2805,1556,1425,2277,1686,1145,1175,688,475,178,325,999,1468,1498
2936,2805,1556,1425,2277,1686,1048,1546,1354,510,677,677,999,1468,1498
2936,2805,1556,1425,2277,738,702,1546,688,586,677,677,343,1054,1498
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,419,472,999,1468,1498
2936,32,34,147,153,1686,92,1175,109,1160,1221,717,746,1054,323
2936,2805,1303,1289,2277,738,702,1546,1354,1160,1221,717,746,1054,492
2936,2805,1556,1425,432,532,1145,1175,631,510,443,571,711,1468,1498
2936,2805,1556,1425,2277,738,702,1546,688,586,677,677,999,1468,1498
2936,2805,1556,134,137,532,1145,1175,631,207,1221,571,711,162,1498
2936,2805,1556,1425,2277,1686,1145,1175,631,586,1221,325,999,1468,1498
2936,2805,1556,1425,2277,1686,1145,1175,1354,510,419,325,999,1468,1498
2936,2805,1556,1425,2277,738,702,1546,688,586,677,717,746,1054,492
2936,2805,1556,134,137,532,1145,1175,631,207,1221,325,48,162,1498
2936,98,105,147,153,738,702,187,184,1160,1221,717,746,1054,323
2936,2805,1303,1289,2277,1686,1145,1175,1354,475,677,472,999,1468,318
2936,2805,1556,1425,432,532,1145,1175,688,475,443,571,711,166,232
2936,2805,1556,1425,2277,738,702,1546,688,586,677,677,999,1468,1498
2936,2805,1556,1425,432,532,1145,1175,631,510,443,571,711,1468,1498
2936,2805,1556,1425,2277,738,702,1546,1354,1160,1221,717,746,1054,492
2936,2805,1556,1425,2277,1686,1048,1546,688,586,419,325,999,1468,1498
2936,2805,1556,1425,2277,738,702,1546,688,586,677,677,343,1054,1498
2936,2805,1556,1425,2277,738,702,1546,688,586,677,717,746,1054,492
2936,2805,1556,1425,2277,738,702,1546,688,586,677,677,343,1054,1498
2936,2805,1303,1289,2277,738,702,1546,1354,510,677,717,746,1054,492
2936,2805,1556,1425,2277,1686,1048,1546,688,475,443,571,711,1468,1498
2936,2805,1556,1425,2277,1686,1145,1175,688,475,443,571,711,1468,1498
2936,2805,1556,1425,2277,738,702,1546,1354,510,677,717,746,1054,1498
2936,2805,1556,1425,432,532,1145,1175,631,510,443,571,711,1468,1498
2936,2805,1303,1289,2277,1686,1145,1175,1354,1160,419,472,999,1468,323
2936,2805,1556,1425,2277,1686,1048,1546,688,586,677,677,999,1468,1498
2936,2805,1556,1425,2277,738,702,1546,688,586,677,677,343,1054,1498
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,419,472,999,1468,323
2936,2805,1556,1425,2277,1686,1145,1175,1354,1160,1221,677,999,1468,1498
2936,32,34,147,153,738,702,187,109,586,1221,717,746,21,67
2936,2805,1556,1425,2277,738,702,1546,688,586,419,325,999,1468,1498
2936,2805,1556,1425,2277,1686,1048,1546,688,475,178,325,999,1468,1498
2936,2805,1556,1425,432,532,1145,1175,631,586,1221,212,711,1468,318
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,677,999,1468,1498
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,419,472,999,1468,323
2936,2805,1556,1425,432,532,1145,1175,688,475,443,571,711,166,232
2936,2805,1556,1425,2277,1686,1048,1546,1354,510,677,677,999,1468,1498
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,677,343,1054,1498
2936,2805,1556,1425,2277,1686,1048,1546,688,475,443,571,711,1468,1498
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,419,472,999,1468,1498
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,677,999,1468,1498
2936,2805,1556,1425,2277,1686,1048,1546,688,475,178,325,999,1468,1498
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,677,343,1054,1498
2936,2805,1556,1425,2277,1686,1145,1175,688,475,443,571,711,1468,1498
2936,2805,1303,1289,2277,738,702,1546,1354,1160,1221,717,746,1054,492
2936,2805,1556,1425,2277,738,702,1546,688,1160,419,325,999,1468,1498
2936,2805,1556,1425,2277,1686,1145,1175,688,475,677,212,711,1468,1498
2936,2805,1556,1425,2277,738,702,1546,1354,510,677,677,343,1054,1498
2936,2805,1303,1289,2277,738,702,187,184,1160,1221,717,746,1054,492
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,419,472,343,1054,323
2936,2805,1556,1425,2277,1686,1145,1175,631,510,443,571,711,1468,1498
2936,2805,1303,1289,2277,1686,1145,1175,1354,1160,419,472,999,1468,323
2936,2805,1556,1425,2277,1686,1048,1546,688,475,178,212,711,1468,1498
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,677,999,1468,1498
2936,2805,1303,1289,2277,738,702,1546,1354,1160,1221,717,746,1054,492
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,677,343,1054,1498
2936,2805,1556,1425,2277,1686,1048,1546,1354,510,677,677,999,1468,1498
2936,2805,1556,1425,2277,1686,1048,1546,688,475,443,571,711,1468,1498
2936,2805,1556,1425,2277,1686,1048,1546,688,475,443,571,711,1468,1498
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,677,343,1054,1498
2936,2805,1303,1289,2277,738,702,1546,1354,1160,1221,717,746,1054,492
2936,2805,1556,1425,432,532,1145,1175,631,510,443,571,711,166,232
2936,2805,1303,1289,432,532,1145,1175,631,586,677,212,96,1468,318
2936,2805,1556,1425,2277,1686,1145,1175,688,475,443,571,711,1468,1498
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,419,472,999,1468,1498
2936,2805,1303,1289,2277,738,702,1546,1354,1160,1221,717,746,1054,492
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,419,472,999,1468,1498
2936,2805,1556,1425,432,532,1145,1175,631,207,1221,571,711,1468,318
2936,2805,1303,1289,2277,1686,1145,1175,1354,475,677,472,999,1468,318
2936,2805,1303,1289,2277,1686,1145,1175,1354,1160,419,472,999,1468,323
2936,2805,1303,1289,2277,1686,1145,1175,1354,475,677,472,999,1468,1498
2936,2805,1303,1289,2277,738,702,1546,1354,1160,1221,717,746,1054,492
2936,2805,1303,1289,2277,1686,1145,1175,1354,1160,419,472,999,1468,1498
2936,2805,1303,1289,2277,738,702,1546,1354,1160,1221,717,746,1054,492
2936,2805,1556,1425,2277,1686,1048,1546,1354,510,677,677,999,1468,1498
2936,2805,1303,1289,2277,738,702,187,184,1160,1221,717,746,1054,492
2936,2805,1556,1425,432,532,1145,1175,631,510,443,571,711,166,232
2936,2805,1556,1425,2277,1686,1048,1546,1354,510,677,677,999,1468,1498
2936,2805,1556,1425,2277,1686,1048,1546,1354,510,677,677,999,1468,1498
2936,2805,1303,1289,2277,1686,1048,1546,1354,1160,1221,677,343,1054,1498
2936,2805,1556,1425,2277,738,702,1546,688,586,677,717,746,1054,1498
64,64,1556,1425,432,532,1145,1175,631,586,443,325,96,162,232
2936,2805,1556,1425,2277,738,702,1546,688,586,677,677,999,1468,1498
2936,2805,1556,1425,2277,1686,1048,1546,1354,510,677,677,999,1468,1498
2936,2805,1303,1289,2277,1686,1048,187,184,1160,1221,717,746,1054,323
